Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,CumulativeCost,CostRate,AverageLossPi,StdLossPi,MaxLossPi,MinLossPi,AverageLossQR1,StdLossQR1,MaxLossQR1,MinLossQR1,AverageLossQC,StdLossQC,MaxLossQC,MinLossQC,AverageLossQCVar,StdLossQCVar,MaxLossQCVar,MinLossQCVar,AveragePiEntropy,StdPiEntropy,MaxPiEntropy,MinPiEntropy,TotalTime
2278,-803483.5364,6307.72803000000,-782894.4494,-823398.5197,553.129600000000,-1930.436524,954.182080000000,298.181900000000,334287780,1803.86448574467,5954113,133047.620000000,6316255,5637952,291709200,143032670,906500740,120263900,676.762100000000,129.663350000000,1064.92580000000,433.183870000000,426.159500000000,129.685400000000,1007.51807000000,228.863620000000,-204.50688,3.95124600000000,-194.52525,-212.74689,21276.7407221794
2279,-800067.43,13354.5370150000,-793357.1078,-835903.1159,796.262200000000,-1838.621972,1171.62805333333,366.133766666667,334316060,1803.38562775237,5939092,143646.670000000,6253239,5631916,342413500,167021250,1010306300.00000,140794690,681.467000000000,107.385830000000,897.601440000000,418.916300000000,409.701000000000,108.690956000000,771.588500000000,211.125460000000,-204.4417,4.28102450000000,-196.09962,-219.8482,21285.0054435730
2280,-808094.344,20338.7531750000,-791904.57,-833399.5633,847.410800000000,-1914.750196,1222.43765333333,382.011766666667,334344260,1802.88276862362,6090129,166736.270000000,6743277.50000000,5729261,413770660,319084160,3472437200.00000,135979730,773.520800000000,177.161130000000,1320.05500000000,417.913820000000,460.101170000000,151.278240000000,1282.71920000000,172.598940000000,-201.31459,5.87793100000000,-190.61957,-219.07372,21295.7572665215
2281,-802044.5537,5045.61995500000,-782859.4983,-822067.2202,648.397600000000,-1883.491992,999.843093333333,312.450966666667,334371140,1802.35863719887,6110759,147963.690000000,6450163,5784072.50000000,312720420,148241280,964509500,151745490,754.587040000000,146.723070000000,1204.16830000000,487.512970000000,474.949460000000,154.672740000000,1059.64300000000,229.059570000000,-196.46579,4.38319540000000,-187.97238,-205.96469,21304.0472254753
2282,-789049.9381,11789.5095980000,-774838.989,-813671.9562,378.897400000000,-1769.20958,832.011200000000,260.003500000000,334395550,1801.86057797624,6173205.50000000,151364.170000000,6604951,5799519.50000000,218022560,61686350,389738500,119581950,732.380800000000,130.290560000000,1124.10180000000,423.476440000000,443.514160000000,133.155500000000,1038.49900000000,223.822850000000,-199.57259,4.82070300000000,-184.97086,-208.86119,21314.8630931377
2283,-799040.1749,21357.4448460000,-767487.7329,-811581.4903,532.726000000000,-1790.33008,798.155093333333,249.423466666667,334419900,1801.39947112227,6187256,124463.670000000,6408236,5871375,263413470,95545896,516552540,128247170,740.997900000000,152.194470000000,1191.58640000000,493.371520000000,440.796780000000,143.042200000000,973.289900000000,241.620450000000,-201.00952,3.06628800000000,-194.1476,-207.224,21323.0796124935
2284,-796534.7638,13381.3550950000,-772871.3125,-823160.9812,584.917400000000,-1879.35976,831.651306666666,259.891033333333,334445250,1800.90994494671,6257201,191363.050000000,7099276,5913423.50000000,247358850,158462780,1098848500.00000,111504700,761.846500000000,161.729770000000,1255.38320000000,465.903470000000,474.989840000000,166.213000000000,1041.22670000000,238.993290000000,-202.58179,4.13147830000000,-193.55501,-215.39255,21333.9374587536
2285,-797717.7461,19125.4373650000,-775948.0596,-822469.3239,441.702800000000,-1745.61162,908.259733333333,283.831166666667,334471500,1800.42219342679,6368290,161135.830000000,6816911.50000000,6018370.50000000,211441120,63531724,368367940,110845100,761.398100000000,155.032060000000,1219.79900000000,446.970180000000,462.878850000000,149.461820000000,1074.81950000000,232.092250000000,-206.20605,3.19404460000000,-198.52968,-214.37465,21342.2003479004
2286,-800642.1022,15857.3262010000,-772874.8268,-814290.6695,676.366800000000,-1817.68144,825.532160000000,257.978800000000,334496320,1799.91064610002,6352920,177977.620000000,6947618,6000184.50000000,216975920,66796144,543827800,117416240,765.403300000000,145.708250000000,1273.02800000000,472.179870000000,467.066300000000,146.002640000000,1135.49320000000,223.609950000000,-203.40384,5.36991200000000,-190.91927,-217.89595,21353.0616044998
2287,-790892.192,7173.25775800000,-770815.6137,-813999.5473,429.803200000000,-1955.972168,877.268373333333,274.146366666667,334522000,1799.42792770071,6360415,157733.890000000,6738106,5997833.50000000,259202180,141426960,938049300,102235290,740.991640000000,143.502400000000,1178.28540000000,454.705930000000,486.926450000000,173.028700000000,1115.67430000000,232.258270000000,-207.1519,5.43203100000000,-191.96928,-220.10919,21361.3514461517
2288,-795970.0316,21165.0026660000,-777302.079,-814742.6769,538.708200000000,-1753.63134,950.248266666667,296.952583333333,334547100,1798.95221929043,6357190.50000000,162179.270000000,6850130,5951066,209491040,63681590,497068770,107477520,690.577450000000,127.050186000000,1154.74980000000,443.228180000000,422.047180000000,130.811260000000,851.295300000000,217.952450000000,-212.21207,3.21836640000000,-201.2922,-220.07426,21372.0964224339
2289,-804414.4229,7327.48648400000,-784033.3163,-818865.7603,813.204100000000,-1972.599804,967.211360000000,302.253550000000,334574560,1798.44198430964,6406521.50000000,158823.470000000,6763578,5993914.50000000,208883550,61106096,436635400,127138340,680.401300000000,119.301900000000,967.160700000000,479.527830000000,415.718350000000,119.638390000000,885.162960000000,222.908570000000,-211.67334,3.52276040000000,-203.81114,-219.55345,21380.4010756016
2290,-796260.9566,2669.78984900000,-785201.1666,-812370.2624,461.609000000000,-1959.325488,897.625013333333,280.507816666667,334599070,1797.93138884691,6454159,174057.670000000,7044972,6043674.50000000,188572200,58519900,462209250,100349350,691.521670000000,121.897740000000,1152.68730000000,475.527220000000,433.372470000000,146.150820000000,1220.31380000000,225.241240000000,-214.55254,3.47148320000000,-205.50854,-225.70325,21391.2353842258
2291,-793441.5065,11492.1002990000,-779550.2177,-807273.9019,408.233800000000,-1990.723438,746.126826666667,233.164633333333,334623780,1797.39451820272,6457247,186474.030000000,6908687.50000000,6043261,187255520,55807324,366789800,92651460,689.670900000000,158.464190000000,1310.14480000000,421.547850000000,435.562000000000,165.863310000000,1058.23400000000,229.047700000000,-216.97432,4.59874900000000,-204.70622,-229.8667,21399.4995498657
2292,-798865.595,8855.19820000000,-774356.7806,-804628.781,529.145000000000,-1947.808204,604.095680000000,188.779900000000,334648000,1796.91126583340,6527723.50000000,170727.280000000,7002398,6005318,178628380,61550236,406677400,88090450,671.128300000000,121.153230000000,994.577800000000,390.948550000000,404.708440000000,119.790510000000,787.154200000000,201.489650000000,-217.82166,4.87016200000000,-206.42677,-232.00725,21410.2078943253
2293,-792436.1479,7215.52715000000,-781566.7707,-810429.4537,195.300600000000,-1945.83242,710.640640000000,222.075200000000,334671500,1796.40992101424,6565983.50000000,179204.160000000,7156740.50000000,6216557.50000000,180669340,52888828,358512160,99370630,713.730800000000,125.386000000000,1133.05410000000,498.400240000000,437.321140000000,132.237560000000,853.369140000000,252.287480000000,-214.57785,3.49103050000000,-205.52325,-221.45546,21418.4399068356
2294,-800138.2691,8262.71325100000,-777980.7437,-820647.9943,608.005600000000,-1956.043946,769.613226666667,240.504133333333,334696960,1795.90123539568,6457722.50000000,194009.600000000,7098148.50000000,5970678.50000000,175686940,50227640,389358270,92060320,680.572270000000,131.864960000000,1290.48540000000,427.708070000000,407.754880000000,126.186780000000,845.844500000000,217.101560000000,-217.22856,3.62801480000000,-209.24348,-228.61282,21429.2483856678
2295,-801080.4993,27669.2558510000,-781808.2265,-824744.9827,639.718600000000,-1879.16094,978.875626666666,305.898633333333,334723840,1795.41269708292,6420802.50000000,186735.920000000,6972570,5906778,167676350,49474330,306223870,86037250,619.870360000000,92.1645100000000,829.810550000000,413.535460000000,366.349060000000,92.5603200000000,676.013060000000,227.616520000000,-216.89218,4.10200930000000,-208.36517,-225.14677,21437.5789670944
2296,-796574.7006,6836.09816400000,-769714.118,-825467.1354,587.667600000000,-1958.691602,852.986346666667,266.558233333333,334749060,1794.93061347536,6421759,171058.390000000,6940861,5976669,185185650,58908520,382539360,95733110,643.056900000000,105.295880000000,939.257100000000,375.783170000000,389.905670000000,116.788290000000,758.926100000000,174.220640000000,-216.52261,4.29827260000000,-205.52898,-226.8953,21448.4520578384
2297,-793898.2174,27104.9419610000,-769919.1949,-805938.3543,371.963200000000,-1854.09795,728.060160000000,227.518800000000,334772740,1794.46970787645,6432241.50000000,178522.700000000,6926911.50000000,6031975,168812590,45927350,331925470,99661370,641.924200000000,118.086570000000,985.662960000000,422.657260000000,392.123540000000,116.717330000000,710.366600000000,200.269620000000,-217.58394,4.16293860000000,-206.86043,-228.8832,21456.6447637081
2298,-792197.9422,1632.59358900000,-764336.544,-799979.1679,405.482000000000,-1902.094726,681.459946666667,212.956233333333,334797060,1793.97533508475,6396678.50000000,165503.640000000,6806506,5936524.50000000,178664350,57550556,422558340,89214730,608.302860000000,102.706720000000,866.020600000000,388.481960000000,380.399720000000,123.796960000000,883.208860000000,168.185180000000,-215.47578,4.42909530000000,-203.4868,-225.32751,21467.4061148167
2299,-790388.37,7302.05442140000,-774353.8974,-798515.7055,500.292200000000,-1892.624512,719.599146666667,224.874733333333,334821920,1793.52367571546,6362145.50000000,178158.920000000,6871344.50000000,6021946.50000000,200423310,52139260,410056670,112055620,651.453900000000,112.608120000000,973.824950000000,407.842830000000,383.328950000000,105.795395000000,726.001650000000,203.370300000000,-213.46536,4.52944560000000,-202.45633,-223.95299,21475.6124358177
2300,-797853.7361,10099.9002070000,-776877.4227,-802653.6949,443.474200000000,-1952.050098,684.001066666667,213.750333333333,334845900,1793.05635898551,6341629.50000000,163495.280000000,6834165.50000000,5943495,200241630,63491530,445335700,90193250,601.886840000000,102.409460000000,947.660950000000,408.467350000000,367.152200000000,108.916580000000,818.202940000000,196.391270000000,-213.20903,3.79894800000000,-203.7149,-221.76616,21486.4471681118
2301,-795635.3897,3385.07851050000,-776209.2374,-806281.5245,338.735600000000,-1939.433594,603.208746666667,188.502733333333,334869280,1792.54198766691,6342325.50000000,177836.700000000,6814659.50000000,5938372,159462880,38493916,260134860,89220740,633.070400000000,122.984770000000,1111.99130000000,377.563230000000,362.168500000000,109.175370000000,666.819400000000,187.870540000000,-212.51143,3.88344380000000,-204.8878,-224.7045,21494.7291045189
2302,-791695.1778,12561.5371950000,-776733.7638,-811613.8415,348.806600000000,-1892.97392,712.711253333333,222.722266666667,334894720,1792.03875386286,6351773.50000000,179483.770000000,6723335,5797478,161997220,46591484,390367230,81722860,612.016700000000,105.218994000000,943.100000000000,335.865360000000,343.608340000000,81.1131000000000,611.647500000000,176.699650000000,-212.90825,3.76737950000000,-202.6983,-221.64073,21505.4788861275
2303,-801381.4144,16188.6170870000,-769437.7495,-815110.8649,648.791400000000,-1864.39776,708.265386666667,221.332933333333,334919780,1791.56774807567,6385131.50000000,180419.560000000,6904459,6058951,159866750,45728650,301342100,79810520,613.964700000000,130.764300000000,975.816830000000,359.330700000000,358.194900000000,112.191850000000,759.791000000000,140.648440000000,-211.18765,3.93554740000000,-199.68782,-218.3042,21513.7209424973
2304,-793568.5279,18973.1747640000,-773679.1384,-812250.9264,330.399600000000,-1849.68252,727.046720000000,227.202100000000,334942430,1791.14081145585,6357805,166821.230000000,6818969,5914641.50000000,146565800,40126090,329462850,83216290,566.591100000000,99.6096100000000,888.869400000000,360.992680000000,333.571350000000,91.6279800000000,702.564200000000,176.286800000000,-210.41391,4.39238830000000,-197.26273,-221.52591,21524.6559410095
2305,-792995.4798,2503.06253800000,-763468.5559,-800747.2842,384.021600000000,-1938.57129,564.363840000000,176.363700000000,334966500,1790.64831590011,6361305.50000000,158107.220000000,6823489,6076697.50000000,151970270,38440468,323135260,83352930,540.425840000000,100.147255000000,880.049300000000,300.076300000000,323.466370000000,96.7630400000000,651.799870000000,166.982880000000,-213.74356,3.84177060000000,-206.56712,-222.71024,21532.9936406612
2306,-790562.0686,16849.4199520000,-764851.4036,-797417.0741,343.761000000000,-1914.260644,531.313173333333,166.035366666667,334989600,1790.15357934933,6334129,171430.400000000,6834003.50000000,5905452,163422690,57726600,458531360,83523400,551.211730000000,101.920050000000,952.461700000000,345.908400000000,325.213070000000,101.656105000000,720.660100000000,166.681520000000,-214.46338,4.55759240000000,-197.3656,-224.94194,21543.6993558407
2307,-792440.1383,12710.8611650000,-760919.8016,-794102.0343,268.429600000000,-1915.256152,492.123306666667,153.788533333333,335012930,1789.68274022835,6333286,151370.690000000,6671258.50000000,5944898,154341840,42699692,314971780,85327650,543.033940000000,89.2901840000000,800.468200000000,357.056950000000,315.074280000000,113.945090000000,796.917050000000,144.640620000000,-211.28513,3.57135650000000,-203.44398,-218.3981,21551.9139196873
2308,-789050.8115,4353.64317420000,-771400.6281,-795021.9222,310.540600000000,-1983.229492,582.186880000000,181.933400000000,335036200,1789.19564818980,6320930.50000000,174434.880000000,6920168.50000000,5789440,173520180,69923000,444805100,84063240,518.183960000000,88.7539700000000,894.592800000000,286.781070000000,289.229700000000,84.2912500000000,639.157530000000,150.320190000000,-213.98373,3.33394860000000,-202.11977,-222.3403,21562.6896393299
2309,-796605.3895,2056.28293700000,-772141.3803,-797030.8911,512.630200000000,-1994.503711,653.374186666667,204.179433333333,335061020,1788.70178360284,6320089.50000000,159186.030000000,6688941,5967731.50000000,165452210,36962584,270139800,95058190,489.011300000000,80.7998700000000,711.168300000000,351.116520000000,276.605770000000,77.5683800000000,606.241640000000,148.642330000000,-213.18564,3.67043400000000,-205.29755,-221.97964,21570.9322924614
2310,-794162.2849,14184.2160400000,-771373.7351,-805171.0259,401.905800000000,-1841.95127,692.450666666667,216.390833333333,335084540,1788.22552561051,6314016.50000000,150369.560000000,6821348,5994090,150295680,39959056,305283970,85478280,541.381200000000,109.057160000000,937.414860000000,334.366640000000,302.629800000000,131.342560000000,1202.15310000000,150.419680000000,-212.88277,4.31581200000000,-202.78477,-224.53276,21581.8297982216
2311,-792618.0394,16078.5546790000,-760723.6523,-810262.2224,383.809000000000,-1967.378418,597.183040000000,186.619700000000,335108450,1787.71413833841,6334098.50000000,165781.050000000,6741804,5878654,148453310,38295510,306382530,100576430,504.726960000000,80.4088060000000,705.028700000000,326.296230000000,285.232730000000,96.7321200000000,667.260100000000,150.013240000000,-212.01013,3.39718440000000,-204.17648,-221.6461,21589.9788599014
2312,-793672.6254,24722.6910380000,-757626.6137,-810610.2339,334.003400000000,-1882.5041,640.586453333333,200.183266666667,335132220,1787.22341787942,6326741,151689.190000000,6779925,6003127,140253520,36217970,337816860,80900610,501.785250000000,93.8654560000000,817.266100000000,325.077200000000,285.785030000000,110.591156000000,780.033450000000,131.625800000000,-210.15674,4.24183940000000,-199.07848,-219.0061,21600.8307726383
2313,-792965.2751,18798.5281100000,-754441.4317,-804904.7853,483.287200000000,-1979.101953,632.925653333333,197.789266666667,335156700,1786.71968878323,6306416,168466.440000000,6795007,5856797,221598340,101727890,575792500,103409380,493.089840000000,81.4092600000000,771.873660000000,329.255650000000,262.644470000000,85.9560500000000,635.025600000000,158.707520000000,-208.73282,3.81353970000000,-197.43686,-215.71286,21609.0658257008
2314,-788467.1742,13126.2851152000,-757527.0813,-798475.4419,369.445000000000,-1846.39912,714.482026666667,223.275633333333,335180580,1786.25321966864,6320319,171411.440000000,6765935,5951789,134299600,34112430,323262820,78180020,480.756740000000,87.9384160000000,702.068240000000,303.889900000000,261.282230000000,89.0506740000000,785.931640000000,128.409180000000,-208.6101,4.93131900000000,-193.82599,-221.30775,21619.8104283810
2315,-791771.8577,11900.8764550000,-762178.0297,-792992.5363,486.921600000000,-1898.861132,693.116480000000,216.598900000000,335205300,1785.77187183363,6302977,137466.470000000,6611215.50000000,5960296.50000000,125496360,29308670,214894990,74739070,443.626770000000,73.4388200000000,618.195000000000,326.508330000000,240.580720000000,76.4235700000000,598.894100000000,149.297060000000,-207.81949,3.00281100000000,-200.8465,-215.10912,21627.9545617104
2316,-792720.4317,5092.55067420000,-774237.2661,-808312.083,443.226800000000,-1848.53711,800.573120000000,250.179100000000,335231360,1785.29944046888,6297247,146545.250000000,6695791.50000000,5904442,128647340,28983638,216485470,80538616,476.333400000000,87.5803400000000,764.156000000000,307.544620000000,247.734130000000,75.7031800000000,602.409900000000,100.018740000000,-206.28838,3.64435900000000,-199.215,-215.97446,21638.8433139324
2317,-802357.1582,14985.7169700000,-778591.5298,-807051.9546,570.926200000000,-1758.14112,782.411413333334,244.503566666667,335255970,1784.80325284209,6281373,150962.580000000,6721968,5890069,141350180,37893064,271681500,89177440,441.074130000000,77.7583160000000,634.185200000000,288.097320000000,236.283400000000,77.5162900000000,622.131100000000,124.596010000000,-207.4126,3.65871240000000,-200.16148,-215.63678,21647.1474089623
2318,-793720.7561,3847.83346400000,-788328.6561,-821003.3254,452.868400000000,-1936.445606,877.067093333333,274.083466666667,335280900,1784.29541646622,6285608,158084.640000000,6694240.50000000,5850427.50000000,193600540,76323620,568007040,81271600,444.880430000000,84.9980100000000,784.543300000000,276.273600000000,235.745200000000,93.3572540000000,988.661870000000,120.133970000000,-207.54927,3.46572450000000,-198.89871,-215.63936,21658.0250742435
2319,-804489.4392,8524.97208700000,-783956.1476,-806726.779,620.706200000000,-1998.45498,850.148640000000,265.671450000000,335306780,1783.80327325186,6279642,164949.030000000,6651413.50000000,5896869,132077720,32134474,216669950,79843880,439.968440000000,84.1977400000000,733.367700000000,272.176600000000,239.124050000000,73.6476800000000,528.996900000000,110.527890000000,-206.33267,2.92593810000000,-198.48022,-214.34967,21666.3215348721
2320,-792916.0184,3109.72026500000,-785426.9015,-813077.5421,520.454100000000,-1905.596094,876.079093333334,273.774716666667,335331500,1783.32229459831,6304168.50000000,181532.550000000,6775331,5835802.50000000,130245400,35932930,298754370,71381850,467.594640000000,94.8421900000000,770.535640000000,286.272800000000,243.248950000000,79.5232500000000,549.785400000000,116.555970000000,-207.88696,3.57527570000000,-199.83441,-218.0158,21677.0363683701
2321,-797895.4697,9842.52805000000,-782320.3543,-807756.1446,501.488000000000,-1997.911328,840.609973333333,262.690616666667,335356740,1782.88573369340,6333129,164616.840000000,6762678.50000000,5996106,124226070,27593494,192611060,81768290,472.341250000000,137.998250000000,1296.09170000000,311.845920000000,249.305950000000,124.760254000000,1007.94165000000,109.830750000000,-206.8621,3.59856460000000,-198.08292,-216.12674,21685.2726023197
2322,-799862.284,6594.29739500000,-783014.3674,-819362.7836,554.201600000000,-1927.38916,904.008000000000,282.502500000000,335383000,1782.42835141177,6287264.50000000,158808.170000000,6745382,5956409,137843200,55753532,465079300,69482960,516.314100000000,291.138820000000,3054.06520000000,283.024200000000,287.644040000000,222.831590000000,1632.47850000000,114.498535000000,-205.35205,4.23049700000000,-194.16005,-217.94855,21696.0086910725
2323,-798107.4699,17240.0583300000,-780743.5949,-812741.3797,639.325400000000,-1904.308204,944.365013333333,295.114066666667,335408770,1781.95785535747,6385549,149789.980000000,6713902.50000000,6016083.50000000,202955360,65625156,479158460,90484340,533.968100000000,216.867340000000,1786.10450000000,323.846680000000,317.482850000000,238.333400000000,1402.67720000000,134.664860000000,-203.98436,3.66788770000000,-196.20648,-213.66292,21704.1978099346
2324,-792018.688,4334.70962100000,-775908.6042,-806035.5075,577.157400000000,-1991.750195,859.607466666667,268.627333333333,335433600,1781.46883531611,6296502.50000000,187301.800000000,6942018,5867160,152775460,52768520,366564960,77990630,492.169040000000,156.481960000000,1247.28780000000,265.699200000000,321.137200000000,195.054060000000,1215.03760000000,122.070800000000,-201.16939,3.67950700000000,-191.49022,-211.1193,21715.0474541187
2325,-793825.5173,5126.19879900000,-794671.1481,-816762.565,395.281200000000,-1928.10742,919.612906666667,287.379033333333,335458620,1780.99823032268,6390793,183292.840000000,6771591,5968335,114602264,24956740,192215650,66305080,565.474550000000,173.408040000000,1393.52080000000,350.073120000000,333.340640000000,222.897860000000,1406.30150000000,132.347230000000,-201.56352,4.12246130000000,-192.10147,-209.40846,21723.3020040989
2326,-813451.4077,3303.53110580000,-797568.2372,-819379.3237,751.835600000000,-1930.963574,846.705600000000,264.595500000000,335486240,1780.50276909851,6333170.50000000,187499.840000000,6893561.50000000,5822117,297399500,375643900,2566468900.00000,63055364,527.763300000000,157.716400000000,1359.00990000000,279.380070000000,356.277900000000,262.514680000000,2318.62000000000,126.427124000000,-201.19443,4.66605000000000,-189.80734,-215.38405,21734.0263230801
2327,-795832.4836,3312.08236600000,-802487.9516,-822757.728,440.456200000000,-1873.26006,922.370133333333,288.240666666667,335510370,1780.06100966702,6303121.50000000,150355.670000000,6608577.50000000,5887577.50000000,113235430,23361492,165591760,68836664,477.927500000000,112.966590000000,787.900270000000,279.087700000000,300.540370000000,170.076170000000,929.468300000000,107.282470000000,-199.03331,3.86682500000000,-190.56766,-209.18585,21742.2857043743
2328,-798044.8126,1971.48884725000,-776079.5072,-806730.2327,537.152200000000,-1964.63086,749.850453333334,234.328266666667,335535900,1779.61685469351,6292237.50000000,166859,6737002.50000000,5909381,118862530,26146424,188505700,58491480,455.425870000000,103.854866000000,811.716550000000,282.992300000000,286.961180000000,160.126340000000,1024.98360000000,111.835510000000,-202.10098,4.20416930000000,-190.67749,-211.00708,21753.1797902584
2329,-792087.3926,21856.1110590000,-771351.6675,-804925.7491,428.361200000000,-1865.9248,748.771520000000,233.991100000000,335559170,1779.13913517262,6311229,162481.190000000,6652003,5917768.50000000,175035140,177536690,1214035200.00000,56676976,462.170840000000,104.379640000000,827.361900000000,304.052000000000,257.874080000000,128.223420000000,731.302100000000,116.258545000000,-203.14648,2.89814520000000,-195.74136,-209.99442,21761.4903638363
2330,-792188.1231,8316.26197200000,-766691.1924,-811013.2873,438.433200000000,-1903.45371,716.982400000000,224.057000000000,335584420,1778.65865694057,6294916,161021.620000000,6707933,5858292,198871070,197726910,1213975800.00000,74591230,440.256740000000,87.2214500000000,715.955000000000,279.022830000000,267.595030000000,146.796430000000,883.249900000000,97.2897950000000,-203.66667,3.38442540000000,-193.90825,-213.35764,21772.3327033520
2331,-798646.9006,16640.3158600000,-770498.1789,-813561.9617,477.547600000000,-1889.23125,695.496853333333,217.342766666667,335608800,1778.15140467510,6324525.50000000,192620.530000000,7005500,5849480,105884110,22571016,177300050,57395224,503.077400000000,139.181670000000,1061.58540000000,293.533800000000,279.296570000000,122.451580000000,792.201540000000,142.067630000000,-204.11282,3.07721330000000,-196.96011,-210.74048,21780.6122148037
2332,-794270.3556,19409.7477278000,-773829.005,-824593.6695,388.075800000000,-1887.1085,844.469546666667,263.896733333333,335634050,1777.67492785885,6348523,181930.970000000,6911864,5895970,113215870,25076138,193802500,71059020,482.056060000000,149.765140000000,1777.77420000000,257.104740000000,313.460080000000,221.095260000000,2236.33500000000,107.270080000000,-200.32315,4.11819460000000,-191.2513,-209.39255,21791.3985691071
2333,-798476.8106,17372.9607150000,-774176.4866,-825836.9032,717.757000000000,-1830.00938,870.886826666667,272.152133333333,335660600,1777.24988874421,6287862.50000000,151914.550000000,6664182,5923660,103116830,24758798,222148620,64510620,430.405180000000,72.3220600000000,638.344300000000,287.715940000000,266.349180000000,102.890450000000,593.770900000000,117.327330000000,-202.14705,3.37535450000000,-195.33379,-211.6181,21799.6771292686
2334,-799393.0475,18003.3326210000,-770158.0037,-830322.9994,527.080000000000,-1918.34961,972.966933333333,304.052166666667,335685800,1776.76445293837,6335262,171207.830000000,6838815.50000000,5754553.50000000,108621630,29545008,230749470,57290810,420.642520000000,75.7433300000000,732.384770000000,258.582760000000,232.253660000000,98.8947400000000,679.711800000000,99.7897340000000,-201.83667,3.10599110000000,-193.56555,-209.8219,21810.5175747871
2335,-795629.6588,30787.3851680000,-771268.3442,-824715.7281,579.476000000000,-1892.65,859.767573333333,268.677366666667,335710980,1776.27047412019,6284237,161490.300000000,6698127,5931005,126948184,35208804,324974400,79260050,388.427030000000,85.3025300000000,673.430540000000,240.007350000000,200.667880000000,64.3610200000000,438.911220000000,100.903690000000,-200.09354,3.29362420000000,-193.33197,-208.37978,21818.8114216328
2336,-798294.0449,8360.68433900000,-766229.2374,-806801.9038,505.508200000000,-1952.974316,850.945173333333,265.920366666667,335735700,1775.79364269371,6317242,173212.890000000,6957725.50000000,5902177,118244310,32932962,244313820,70043160,407.742600000000,74.3532200000000,690.648900000000,275.603100000000,230.069750000000,104.037660000000,642.761540000000,125.908020000000,-200.53741,4.07822400000000,-190.71988,-210.98164,21829.6747937202
2337,-788610.7831,2302.48156800000,-773788.9165,-802770.1009,510.538000000000,-1925.48008,891.631146666667,278.634733333333,335760770,1775.30774167009,6302404,160367.220000000,6666777.50000000,5911951.50000000,99233810,22677170,181631580,68069520,405.678740000000,78.4603800000000,632.616500000000,244.472100000000,221.615080000000,96.7281400000000,716.702300000000,93.4392700000000,-201.10739,3.47290870000000,-193.73691,-208.55684,21837.9699282646
2338,-796691.4447,14743.2679760000,-771760.2663,-806728.0364,655.762200000000,-1942.47412,923.080960000000,288.462800000000,335787940,1774.81344056841,6329219,159433.060000000,6815354.50000000,5832565.50000000,110974770,29837906,247198600,63767508,428.151920000000,83.4254400000000,691.567300000000,288.123020000000,248.561610000000,110.980580000000,733.086550000000,122.479126000000,-201.648,3.20605400000000,-192.63724,-210.9477,21848.6625769138
2339,-798068.554,16677.4874238000,-785439.4908,-824773.157,564.476600000000,-1976.304004,993.854026666667,310.579383333333,335813470,1774.33271409078,6317539,161944.470000000,6756397.50000000,5910662,113676740,34325304,223340960,70743656,405.531520000000,71.5779340000000,647.003100000000,264.873900000000,248.564790000000,135.876830000000,750.977230000000,124.129030000000,-198.49258,3.03630330000000,-190.55315,-205.53877,21856.9168827534
2340,-804561.3862,5366.13185700000,-783038.6336,-833819.1074,643.237500000000,-1977.158008,956.397066666667,298.874083333333,335839800,1773.88592181158,6296493.50000000,145538.220000000,6626909,5921083,115905580,34466636,295210530,61785140,392.233830000000,64.4585400000000,617.359250000000,265.961180000000,214.156830000000,72.8944850000000,496.803400000000,109.997440000000,-200.31546,3.24577210000000,-194.42532,-209.33487,21867.7444319725
2341,-800415.6634,29729.5644930000,-787056.4672,-833625.0901,585.530400000000,-1750.63232,959.482613333333,299.838316666667,335865730,1773.38852477866,6271218.50000000,161714.450000000,6671069,5964766,103341640,24740120,192097900,67707896,386.612820000000,65.4083200000000,578.402600000000,243.638210000000,204.170400000000,71.9387740000000,595.699500000000,113.595276000000,-200.33298,2.40640830000000,-195.80005,-206.26112,21876.0355308056
2342,-800716.3074,10407.0229310000,-772384.6422,-829303.8817,570.262000000000,-1915.720704,831.322986666667,259.788433333333,335891970,1772.91388227568,6290021.50000000,166238.250000000,6698940,5776702,214056880,208819170,1205288400.00000,54035620,371.036650000000,62.6170040000000,627.784000000000,257.975160000000,204.937790000000,81.4377060000000,594.642000000000,100.982300000000,-201.46219,2.95385000000000,-192.01086,-207.77098,21886.9305233955
2343,-793605.133,21494.3413680000,-772773.828,-820485.2803,402.938200000000,-1833.12344,872.353706666667,272.610533333333,335917440,1772.42375802137,6300081,154919.120000000,6643585,5986970,115998780,40433244,314656300,54290924,373.137600000000,69.9388600000000,551.180970000000,269.388730000000,218.950000000000,105.408840000000,769.272200000000,122.730470000000,-198.99197,3.13094430000000,-192.62823,-207.487,21895.2557237148
2344,-796166.2354,18056.9213940000,-767088.4863,-835404.159,662.463000000000,-1857.31406,931.071893333334,290.959966666667,335942080,1771.94336991650,6306682.50000000,158359.730000000,6797405,5831246,98344920,28551666,209935360,48426336,378.005130000000,68.1656000000000,557.750400000000,223.773180000000,201.838640000000,80.6552200000000,622.744200000000,91.1175500000000,-199.77873,2.92710830000000,-191.70938,-208.79747,21906.0963883400
